name,x,y,cluster
p3302,0.781,0.278,0
p3365,0.659,0.227,0
p3767,0.799,0.298,0
p4658,0.822,0.264,0
p3763,0.741,0.269,0
p4625,0.717,0.217,0
p2909,0.81,0.344,0
p4015,0.789,0.287,0
p3741,0.762,0.256,0
p3808,0.823,0.405,0
p4035,0.632,0.219,0
p2874,0.795,0.294,0
p3775,0.763,0.292,0
p2853,0.741,0.23,0
p4671,0.822,0.277,0
p3762,0.78,0.272,0
p3296,0.81,0.29,0
p2934,0.812,0.394,0
p3301,0.792,0.287,0
p2837,0.713,0.218,0
p2888,0.781,0.303,0
p4382,0.73,0.239,0
p3788,0.798,0.33,0
p3986,0.825,0.404,0
p3281,0.803,0.3,0
p4644,0.787,0.287,0
p3756,0.759,0.252,0
p4003,0.806,0.325,0
p3383,0.666,0.223,0
p4376,0.67,0.244,0
p2883,0.794,0.249,0
p3805,0.81,0.372,0
p2873,0.761,0.26,0
p4021,0.751,0.284,0
p3695,0.645,0.254,0
p3377,0.655,0.221,0
p3317,0.759,0.281,0
p3267,0.826,0.355,0
p3349,0.712,0.225,0
p3698,0.636,0.251,0
p4661,0.829,0.289,0
p2896,0.79,0.323,0
p3744,0.734,0.221,0
p3313,0.757,0.287,0
p4654,0.812,0.259,0
p3261,0.821,0.324,0
p3325,0.755,0.282,0
p4016,0.773,0.282,0
p3320,0.759,0.271,0
p4659,0.809,0.255,0
p2975,0.804,0.435,0
p3272,0.809,0.345,0
p4006,0.815,0.297,0
p2901,0.786,0.316,0
p2954,0.788,0.363,0
p3305,0.778,0.283,0
p4653,0.806,0.241,0
p3757,0.76,0.279,0
p4375,0.688,0.199,0
p4649,0.799,0.227,0
p3712,0.668,0.245,0
p4023,0.746,0.257,0
p3812,0.825,0.396,0
p3774,0.774,0.324,0
p3772,0.781,0.318,0
p4024,0.753,0.225,0
p3720,0.721,0.245,0
p3817,0.804,0.377,0
p4399,0.69,0.202,0
p4421,0.644,0.206,0
p4688,0.835,0.35,0
p3354,0.698,0.24,0
p3287,0.771,0.322,0
p4695,0.818,0.386,0
p3342,0.729,0.19,0
p4039,0.636,0.238,0
p3382,0.648,0.189,0
p4632,0.779,0.202,0
p4680,0.808,0.303,0
p3334,0.76,0.229,0
p4387,0.691,0.228,0
p2834,0.715,0.25,0
p3371,0.672,0.215,0
p4367,0.654,0.236,0
p4697,0.832,0.332,0
p4363,0.643,0.257,0
p3732,0.741,0.222,0
p2940,0.816,0.363,0
p3355,0.697,0.233,0
p2848,0.732,0.231,0
p2942,0.809,0.367,0
p3233,0.832,0.414,0
p3996,0.796,0.354,0
p3826,0.827,0.427,0
p3786,0.78,0.358,0
p2969,0.818,0.433,0
p2919,0.802,0.358,0
p3294,0.787,0.287,0
p3329,0.719,0.248,0
p3677,0.63,0.266,0
p3715,0.668,0.22,0
p3306,0.787,0.299,0
p2903,0.79,0.308,0
p3292,0.805,0.31,0
p3746,0.752,0.197,0
p4041,0.639,0.188,0
p2852,0.732,0.294,0
p2928,0.798,0.346,0
p3364,0.683,0.227,0
p3700,0.656,0.254,0
p4385,0.692,0.234,0
p4640,0.789,0.226,0
p4672,0.808,0.312,0
p3260,0.793,0.307,0
p2937,0.813,0.399,0
p4619,0.668,0.197,0
p3800,0.801,0.35,0
p4392,0.69,0.242,0
p2964,0.824,0.408,0
p3804,0.825,0.403,0
p3278,0.81,0.328,0
p3268,0.797,0.337,0
p4622,0.637,0.165,0
p2887,0.793,0.284,0
p2907,0.775,0.314,0
p3348,0.701,0.224,0
p3356,0.685,0.239,0
p4018,0.763,0.254,0
p2916,0.805,0.307,0
p3766,0.751,0.279,0
p2893,0.76,0.29,0
p2974,0.827,0.435,0
p4027,0.741,0.205,0
p2867,0.778,0.223,0
p2882,0.766,0.27,0
p4380,0.716,0.205,0
p3794,0.812,0.361,0
p4678,0.812,0.324,0
p3239,0.816,0.4,0
p3218,0.842,0.419,0
p3731,0.725,0.207,0
p3274,0.798,0.339,0
p3707,0.676,0.239,0
p3220,0.827,0.416,0
p2902,0.783,0.295,0
p4624,0.714,0.206,0
p2849,0.735,0.285,0
p2914,0.82,0.317,0
p3818,0.822,0.379,0
p4647,0.769,0.226,0
p3275,0.802,0.325,0
p4698,0.823,0.372,0
p3297,0.797,0.275,0
p3778,0.812,0.331,0
p4000,0.813,0.294,0
p4635,0.747,0.221,0
p3759,0.77,0.249,0
p3787,0.793,0.351,0
p3807,0.813,0.412,0
p2931,0.809,0.347,0
p2897,0.781,0.279,0
p4034,0.728,0.242,0
p4618,0.662,0.19,0
p3790,0.804,0.375,0
p3765,0.776,0.282,0
p4676,0.82,0.321,0
p3709,0.674,0.199,0
p3222,0.851,0.402,0
p2875,0.751,0.268,0
p3993,0.792,0.36,0
p3237,0.842,0.408,0
